,Topic,Count,Name,Representation,keyBERT,mmr,combined,zephyr,Representative_Docs
0,-1,959,-1_106_title_sexual_department,"['106', 'title', 'sexual', 'department', 'ix', 'title ix', 'harassment', 'party', 'recipient', 'sexual harassment']","['sexual harassment', 'july 28 2021 appeals pending', 'harassment', '2021 appeals pending', '2021 appeals', 'july 28 2021 appeals', 'appeals pending', '28 2021 appeals pending', 'title ix', '2021 appeals pending 1st', '2021 appeals pending 1st cir', 'appeals pending 1st', '28 2021 appeals pending 1st', '28 2021 appeals', 'appeals pending 1st cir', 'appeals', 'court', 'final regulations', 'grievance', 'enforce', 'regarding responsibility', 'victim', 'law', 'cross examination live hearing', 'rights', 'examination live hearing', 'regulations', 'determination regarding responsibility', 'complaint', 'witness']","['106', 'title', 'sexual', 'department', 'ix', 'title ix', 'harassment', 'party', 'recipient', 'sexual harassment']","['sexual harassment', '2021 appeals pending', 'july 28 2021 appeals', 'appeals pending', 'title ix', '2021 appeals pending 1st cir', 'court', 'final regulations', 'grievance', 'cross examination live hearing']","['\n        Title IX Sexual Harassment Grievance Process', '', '', '', '', '', '', '', '', '']",
1,0,137,0_institution_violence_shall_sexual,"['institution', 'violence', 'shall', 'sexual', 'section', 'student', 'assault', 'person', 'sexual assault', 'stalking']","['sexual harassment sexual assault', 'harassment sexual assault dating violence', 'harassment sexual assault', 'sexual harassment sexual assault dating', 'sexual assault dating violence stalking', 'harassment sexual assault dating', 'sexual harassment', 'sexual assault dating violence', 'sexual harassment sexual', 'assault dating violence stalking', 'harassment sexual', 'sexual assault', 'postsecondary educational institution shall', 'harassment', 'violence stalking', 'sexual assault dating', 'postsecondary educational institution', 'dating violence stalking', 'assault dating violence', 'enforcement', 'disciplinary', 'assault', 'postsecondary educational', 'institution shall', 'assault dating', 'dating violence', 'postsecondary', 'violation', 'educational institution', 'campus']","['institution', 'violence', 'shall', 'sexual', 'section', 'student', 'assault', 'person', 'sexual assault', 'stalking']","['sexual harassment sexual assault', 'harassment sexual assault dating violence', 'sexual harassment sexual assault dating', 'sexual assault dating violence stalking', 'sexual assault dating violence', 'assault dating violence stalking', 'sexual assault', 'postsecondary educational institution shall', 'violence stalking', 'enforcement']","['\n        Label: Institutional Policy on Sexual Harassment, Violence, and Stalking', '', '', '', '', '', '', '', '', '']",
2,1,101,1_106_recipient_process_title,"['106', 'recipient', 'process', 'title', 'department', '106 45', '45', 'complainant', 'ix', 'title ix']","['sexual harassment', 'harassment', 'title ix', 'grievance process', 'grievance', 'formal complaint', 'enforce', 'discrimination', 'court order', 'federal court order', 'allegations', 'court order vacated following', 'court order vacated', 'federal court order vacated following', 'ix', 'federal court order vacated', 'court order vacated following language', 'complaint', 'final regulations', 'complainant', 'regulations', 'federal court', 'order vacated following', 'july 28 2021 appeals pending', 'order vacated following language 34', 'order vacated', 'recipient', '2021 appeals pending', 'law', 'appeals pending']","['106', 'recipient', 'process', 'title', 'department', '106 45', '45', 'complainant', 'ix', 'title ix']","['sexual harassment', 'harassment', 'title ix', 'grievance process', 'formal complaint', 'court order', 'court order vacated', 'federal court order vacated following', 'court order vacated following language', '2021 appeals pending']","['\n        Title IX Grievance Process', '', '', '', '', '', '', '', '', '']",
3,2,76,2_cross_cross examination_examination_party,"['cross', 'cross examination', 'examination', 'party', 'hearing', 'questions', 'witness', 'decision', 'live', 'maker']","['cross examination live hearing', 'cross examination live hearing decision', 'examination live hearing decision', 'examination live hearing', 'examination live hearing decision maker', 'live hearing decision', 'cross examination live', 'party witness reaching determination regarding', 'witness reaching determination regarding responsibility', 'statement party witness reaching determination', 'cross examination', 'party witness reaching determination', 'statement party witness', 'witness reaching determination regarding', 'live hearing', 'statement party witness reaching', 'hearing decision', 'examination live', 'hearings', 'rely statement party witness reaching', 'live hearing decision maker', 'rely statement party witness', 'live hearing decision maker rely', 'witness reaching determination', 'witnesses', 'party witness does', 'party witness reaching', 'party witness', 'hearing decision maker rely statement', 'court']","['cross', 'cross examination', 'examination', 'party', 'hearing', 'questions', 'witness', 'decision', 'live', 'maker']","['cross examination live hearing', 'cross examination live hearing decision', 'examination live hearing decision', 'examination live hearing', 'examination live hearing decision maker', 'cross examination live', 'witness reaching determination regarding', 'hearing decision', 'rely statement party witness reaching', 'hearing decision maker rely statement']","['\n        Label: Cross-Examination in Live Hearings for Sexual Harassment Complaints', '', '', '', '', '', '', '', '', '']",
4,3,76,3_106_department_witness_party,"['106', 'department', 'witness', 'party', 'party witness', 'recipient', 'sexual', '2021', 'harassment', '45']","['sexual harassment', 'harassment', 'regarding responsibility victim rights law', 'determination regarding responsibility victim rights', 'responsibility victim rights law', 'regarding responsibility victim rights', 'victim rights law center et', 'reaching determination regarding responsibility victim', 'responsibility victim rights', 'regarding responsibility victim', 'responsibility victim rights law center', 'determination regarding responsibility victim', 'witness reaching determination regarding responsibility', 'statement party witness reaching determination', 'statement party witness reaching', 'statement party witness', 'party witness reaching determination regarding', 'complainant', 'witness reaching determination regarding', 'responsibility victim', 'title ix', 'court', 'party witness reaching determination', 'rights law center et al', 'rely statement party witness reaching', 'witness reaching determination', 'rely statement party witness', 'rights law center et', 'rights law', 'regarding responsibility']","['106', 'department', 'witness', 'party', 'party witness', 'recipient', 'sexual', '2021', 'harassment', '45']","['sexual harassment', 'regarding responsibility victim rights law', 'determination regarding responsibility victim rights', 'responsibility victim rights law', 'regarding responsibility victim rights', 'victim rights law center et', 'reaching determination regarding responsibility victim', 'responsibility victim rights law center', 'witness reaching determination regarding responsibility', 'statement party witness reaching']","[""\n        Label: Department's Final Rule on Sexual Harassment Grievance Process"", '', '', '', '', '', '', '', '', '']",
5,4,62,4_state_carolina_south_south carolina,"['state', 'carolina', 'south', 'south carolina', 'services', 'office', 'administration', 'department administration', 'department', 'library']","['state agency', 'state agencies', 'department administration', 'department administration operating', 'operating unit department administration', 'department administration operating unit department', 'administration operating unit department', 'department', 'law enforcement', 'state federal', 'agencies', 'state library', 'carolina state library', 'administration operating', 'military', 'south carolina state library', 'agency', 'enforcement', 'state', 'administration', 'emergency management', 'carolina state', 'south carolina state', 'sc', 'government', 'services', 'statewide', 'carolina', 'south carolina', 'guard']","['state', 'carolina', 'south', 'south carolina', 'services', 'office', 'administration', 'department administration', 'department', 'library']","['state agencies', 'department administration', 'department administration operating', 'department administration operating unit department', 'administration operating unit department', 'law enforcement', 'state library', 'carolina state library', 'south carolina state library', 'carolina state']","['\n        South Carolina State Services and Departments', '', '', '', '', '', '', '', '', '']",
6,5,61,5_school_harassment_student_students,"['school', 'harassment', 'student', 'students', 'sexual', 'conduct', 'environment', 'hostile environment', 'hostile', 'sexual harassment']","['harassment student', 'student harassed', 'harassment school', 'effects harassment', 'harassment', 'based harassment', 'sexual harassment', 'harassment occurred', 'harassed', 'harassing', 'grievance procedures', 'sexual conduct', 'alleged harasser', 'school employee', 'harasser', 'grievance', 'create hostile', 'sex discrimination', 'incidents', 'conduct', 'discrimination', 'title ix', 'complaint', 'create hostile environment', 'hostile', 'hostile environment', 'complaints', 'students', 'violence', 'school']","['school', 'harassment', 'student', 'students', 'sexual', 'conduct', 'environment', 'hostile environment', 'hostile', 'sexual harassment']","['harassment student', 'student harassed', 'harassment school', 'effects harassment', 'based harassment', 'sexual harassment', 'harassment occurred', 'grievance procedures', 'conduct', 'create hostile environment']","['\n        Label: School Sexual Harassment Conduct Environment Hostile', '', '', '', '', '', '', '', '', '']",
7,6,53,6_sexual_assault_commenters_2021,"['sexual', 'assault', 'commenters', '2021', 'party witness', 'witness', 'party', 'sexual assault', '106', 'department']","['sexual assault', 'victim rights law', 'sexual harassment', 'regarding responsibility victim rights law', 'victim rights law center et', 'responsibility victim rights law', 'regarding responsibility victim rights', 'determination regarding responsibility victim rights', 'responsibility victim rights law center', 'responsibility victim rights', 'harassment', 'victim rights law center', 'regarding responsibility victim', 'assault', 'determination regarding responsibility victim', 'reaching determination regarding responsibility victim', 'mass july 28 2021 appeals', 'appeals', 'responsibility victim', 'witness does cross examination', 'rights law center et al', 'rights law center et', 'party witness does cross examination', 'victim', 'witness does cross examination live', 'rights law', 'regarding responsibility', 'rights law center', 'does cross examination live hearing', '45 party witness does']","['sexual', 'assault', 'commenters', '2021', 'party witness', 'witness', 'party', 'sexual assault', '106', 'department']","['sexual assault', 'victim rights law', 'regarding responsibility victim rights law', 'victim rights law center et', 'responsibility victim rights law center', 'mass july 28 2021 appeals', 'witness does cross examination', 'party witness does cross examination', 'witness does cross examination live', '45 party witness does']","[""\n        Label: Commenters' Perspectives on Sexual Assault Reporting Requirements in 2021 Department Regulations"", '', '', '', '', '', '', '', '', '']",
8,7,50,7_support_child_order_state,"['support', 'child', 'order', 'state', 'obligor', 'support order', '63 17', '63', 'tribunal', 'shall']","['support enforcement', 'child support', 'support order', 'tribunal state', 'support obligation', 'tribunal', 'court shall', 'enforcement', 'jurisdiction', 'court', 'clerk court', 'issued', '2008 act 361', '2008 act', 'pursuant section', 'state', 'state foreign', 'history 2008 act 361', 'section 63 17', 'history 2008 act', 'pursuant', 'department shall', 'obligation', 'support', 'law', 'order', 'department social services', 'withholding', 'section 63', 'state foreign country']","['support', 'child', 'order', 'state', 'obligor', 'support order', '63 17', '63', 'tribunal', 'shall']","['support enforcement', 'child support', 'support order', 'tribunal state', 'support obligation', 'issued', '2008 act 361', 'pursuant section', 'department social services', 'state foreign country']","['\n        Child Support Orders Across State Lines', '', '', '', '', '', '', '', '', '']",
9,8,45,8_evidence_party_parties_106 45,"['evidence', 'party', 'parties', '106 45', '45', '106', 'recipient', 'department', 'witness', 'provision']","['court order', 'evidence', 'investigative', 'party witness does cross examination', 'investigative report', 'witness does cross examination', 'grievance process', 'court', 'federal court order vacated following', 'appeals', 'reaching determination regarding responsibility victim', 'determination regarding responsibility victim rights', 'determination regarding responsibility victim', 'witness does cross examination live', 'investigator', 'regarding responsibility victim rights law', 'allegations', 'regarding responsibility victim rights', 'final regulations', 'witness', 'regarding responsibility victim', 'regarding responsibility', '45 party witness does', 'party witness', 'responsibility victim rights law', '106 45 party witness does', 'does cross examination live hearing', 'party witness does cross', 'order vacated following', 'grievance']","['evidence', 'party', 'parties', '106 45', '45', '106', 'recipient', 'department', 'witness', 'provision']","['party witness does cross examination', 'investigative report', 'witness does cross examination', 'grievance process', 'court', 'federal court order vacated following', 'determination regarding responsibility victim rights', 'witness does cross examination live', '106 45 party witness does', 'party witness does cross']","['\n        Label: ""Evidence Sharing and Party Responses in Title IX Investigations""', '', '', '', '', '', '', '', '', '']",
10,9,45,9_health_insurance_coverage_health insurance,"['health', 'insurance', 'coverage', 'health insurance', 'plan', 'insurer', 'group', 'small', 'benefits', 'employer']","['group health insurance', 'health insurance plans', 'health insurance plan', 'health insurance', 'group health plan', 'health insurance coverage', 'insurance plan', 'insurance coverage', 'insurance plans', 'employer insurer', 'health plan', 'health insurance issuer', 'insurance', 'small employer insurer', 'insurer', 'policy contract', 'insurance issuer', 'health care', 'insured', 'group health', 'health status', 'health maintenance organization', 'provisions', 'coverage', 'defined section 38', 'medical care', 'policy', 'health maintenance', 'employer', 'employee']","['health', 'insurance', 'coverage', 'health insurance', 'plan', 'insurer', 'group', 'small', 'benefits', 'employer']","['group health insurance', 'health insurance plans', 'health insurance plan', 'health insurance', 'group health plan', 'health insurance coverage', 'employer insurer', 'health insurance issuer', 'health maintenance organization', 'defined section 38']","['\n        Health Insurance Coverage in Large and Small Groups', '', '', '', '', '', '', '', '', '']",
11,10,39,10_maryland_02_gov_02 04,"['maryland', '02', 'gov', '02 04', 'maryland gov', '04', 'massachusetts', '01 02', '2022', 'maryland gov regulations pages']","['dsd maryland gov regulations pages', 'maryland gov regulations pages', 'maryland gov regulations', 'dsd maryland gov regulations', 'maryland gov regulations pages forms', 'dsd maryland gov', 'maryland gov', 'regulations pages forms allitems aspxhtmlfalseaspx01', 'gov regulations pages forms allitems', 'dsd maryland', 'regulations pages forms allitems', 'maryland', 'md', 'gov regulations pages forms', 'regulations pages forms', 'forms allitems aspxhtmlfalseaspx01 02 04', 'gov regulations pages', 'forms allitems aspxhtmlfalseaspx01 02', 'regulations pages', 'pages forms allitems aspxhtmlfalseaspx01 02', 'forms allitems aspxhtmlfalseaspx01', 'allitems aspxhtmlfalseaspx01 02', 'pages forms allitems aspxhtmlfalseaspx01', 'allitems aspxhtmlfalseaspx01 02 04', 'allitems aspxhtmlfalseaspx01', 'forms allitems', 'gov regulations', 'attorney general office', 'pages forms allitems', 'regulations']","['maryland', '02', 'gov', '02 04', 'maryland gov', '04', 'massachusetts', '01 02', '2022', 'maryland gov regulations pages']","['dsd maryland gov regulations pages', 'maryland gov regulations pages', 'maryland gov regulations', 'dsd maryland gov regulations', 'maryland gov regulations pages forms', 'dsd maryland gov', 'maryland gov', 'regulations pages forms allitems aspxhtmlfalseaspx01', 'gov regulations pages forms allitems', 'gov regulations pages forms']","['\n        Label: Maryland Charitable Organizations Registration Requirements', '', '', '', '', '', '', '', '', '']",
12,11,39,11_kansas_education_materials_school,"['kansas', 'education', 'materials', 'school', 'course materials', 'career', 'services', 'july december', 'materials july december', 'materials july']","['ks', 'education councils', 'kansas', 'emergency safety interventions esi', 'kansas state', 'school district', 'safety interventions esi', 'interventions esi', 'department education', 'emergency safety interventions', 'integrated accountability', 'special education', 'education course materials', 'schools', 'homeless children youth', 'education', 'education course', 'safety interventions', 'advisory', 'certification', 'homeless children', 'readiness', 'emergency safety', 'integrated', 'services career', 'interventions', 'certification course materials', 'certification course', 'children youth', 'services']","['kansas', 'education', 'materials', 'school', 'course materials', 'career', 'services', 'july december', 'materials july december', 'materials july']","['ks', 'education councils', 'emergency safety interventions esi', 'safety interventions esi', 'emergency safety interventions', 'integrated accountability', 'special education', 'homeless children youth', 'readiness', 'interventions']","['\n        Label: Kansas Education Materials July-December', '', '', '', '', '', '', '', '', '']",
13,12,39,12_religious_regulations_exemption_department,"['religious', 'regulations', 'exemption', 'department', 'religious exemption', 'final', 'final regulations', 'federal', 'ix', 'title']","['religious exemption', 'exemption', 'title ix', 'department longer enforce portion provision', 'department longer enforce portion', 'enforce portion', 'cir department longer enforce portion', 'department longer enforce', 'longer enforce portion', 'cir department longer enforce', '1st cir department longer enforce', 'enforce portion provision related statements', 'july 28 2021 appeals pending', 'enforce', 'longer enforce portion provision related', 'longer enforce', '2021 appeals pending', 'longer enforce portion provision', 'enforce portion provision related', 'enforce portion provision', '2021 appeals', 'appeals pending', 'july 28 2021 appeals', '2021 appeals pending 1st', '28 2021 appeals pending', 'regulations', 'appeals pending 1st', 'final regulations', 'appeals', '28 2021 appeals pending 1st']","['religious', 'regulations', 'exemption', 'department', 'religious exemption', 'final', 'final regulations', 'federal', 'ix', 'title']","['religious exemption', 'title ix', 'department longer enforce portion provision', 'department longer enforce portion', 'cir department longer enforce portion', 'longer enforce portion', '1st cir department longer enforce', 'longer enforce portion provision related', 'appeals pending', 'final regulations']","['\n        Label: Final Regulations for Religious Exemptions Under Title IX', '', '', '', '', '', '', '', '', '']",
14,13,38,13_institution_student_academic_program,"['institution', 'student', 'academic', 'program', 'admission', 'section', 'student regent', 'regent', 'subsection', 'general academic']","['position student regent', 'student regent', 'enrollment', 'automatic admission', 'enrolled', 'applicants', 'admission', 'admission subsection', 'participating student', 'fall semester', 'offer admission', 'enrollment capacity', 'institution section', 'semester', 'applicant', 'undergraduate students', 'position student', 'board regents', 'student organization', 'general academic teaching institution', 'institution shall', 'academic teaching institution', 'attend', 'student', 'institution higher education', 'teaching institution', 'institution higher', 'students', 'undergraduate', 'institution']","['institution', 'student', 'academic', 'program', 'admission', 'section', 'student regent', 'regent', 'subsection', 'general academic']","['position student regent', 'student regent', 'enrollment', 'automatic admission', 'undergraduate students', 'position student', 'board regents', 'student organization', 'general academic teaching institution', 'institution higher education']","['\n        Label: Student Admission Program for General Academic Teaching Institutions', '', '', '', '', '', '', '', '', '']",
